us_since_last_measurement,us_latency1,us_latency2
10511000,1570,595
11138000,1600,784
8954000,553,538
9724000,523,398
10151000,1560,752
10495000,1630,876
8968000,489,497
9845000,716,463
8134000,509,375
10478000,1270,564
9986000,509,516
8038000,683,555
11305000,1640,770
10630000,1650,841
10429000,1170,697
9264000,515,436
10988000,1550,685
10821000,1750,869
11449000,1360,782
8773000,575,459
10627000,1180,685
10459000,1600,797
10838000,1670,701
10529000,1410,619
11077000,1630,757
9508000,514,424
8042000,414,363
11194000,1730,800
11806000,1640,622
9095000,594,396
8710000,509,313
9126000,489,427
9944000,650,393
8008000,509,483
8899000,458,416
10513000,2400,732
10833000,1600,639
8027000,453,435
8300000,608,445
11755000,1620,762
11096000,1300,563
10629000,1310,579
11505000,1470,706
10961000,1660,733
11773000,1820,783
9806000,606,480
11256000,1650,876
8221000,350,355
9355000,459,491
10509000,1620,715
11233000,1560,688
11812000,1570,662
10526000,1550,870
11151000,1600,812
9510000,400,327
9402000,673,534
9523000,558,423
9181000,507,381
9362000,544,429
11925000,1240,602
11599000,2000,895
8348000,493,393
8372000,509,494
10429000,1730,681
9668000,463,380
11379000,1150,728
10597000,1680,777
11551000,1700,632
9444000,487,347
9899000,499,472
8012000,386,326
8400000,478,422
9688000,550,398
8902000,500,404
8781000,516,415
10530000,1810,869
8036000,647,356
9939000,510,472
9354000,588,506
11978000,1650,733
11973000,1440,579
11650000,1690,756
10848000,1690,795
9808000,679,469
8243000,528,419
8619000,557,387
9033000,479,391
11751000,1720,636
10442000,1470,665
11133000,29800,1340
8540000,448,346
8719000,546,399
8216000,485,482
10751000,1560,659
9428000,448,363
8374000,427,575
10308000,1860,781
10707000,1620,798
11236000,1730,722
9882000,419,346
9321000,583,463
11342000,1480,743
9393000,508,347
11672000,1220,807
9482000,763,310
8461000,636,528
10570000,1670,625
11993000,1540,595
11957000,1560,1530
8441000,544,500
8798000,446,334
11245000,1200,650
11358000,1630,722
10895000,1640,669
8644000,564,452
9078000,564,511
9866000,418,358
10775000,1560,620
11264000,1590,734
8164000,518,410
9534000,588,501
11227000,1610,707
8999000,531,415
8599000,446,347
11859000,1820,745
11694000,1620,826
9911000,497,484
8554000,474,431
8282000,481,324
10231000,543,444
9678000,480,483
11286000,9280,64400
11013000,3840,674
11710000,1490,761
10162000,460,433
10035000,497,350
8289000,396,357
8422000,479,387
9806000,448,333
11559000,1730,953
10565000,1620,689
10629000,1670,637
11645000,1470,641
9637000,422,399
9778000,462,467
10420000,1520,834
11505000,1590,744
9133000,460,356
10232000,491,422
8569000,646,419
11408000,1770,698
8888000,655,502
8856000,593,475
8524000,462,330
8835000,566,448
9300000,494,310
10777000,1600,659
9663000,440,315
8198000,435,407
10567000,1460,755
10675000,1520,788
10788000,73600,63000
10837000,1850,662
11521000,1540,691
10656000,1220,719
10651000,1250,699
11513000,1750,731
11726000,1780,983
10039000,422,426
8151000,514,407
11661000,1480,666
9184000,604,342
8083000,507,415
9753000,639,351
9435000,484,409
11906000,1560,760
8720000,478,384
9719000,487,570
11469000,1440,728
10298000,1720,683
11996000,1710,892
10296000,1570,813
10118000,780,368
10037000,418,392
10662000,1440,836
8186000,617,516
8127000,466,312
8449000,520,519
8924000,618,451
11481000,1570,719
11310000,1760,967
11698000,1450,809
11739000,1670,763
9694000,459,355
8673000,533,468
9582000,636,358
10837000,1690,606
10365000,1610,734
8660000,473,467
9049000,581,559
11242000,1610,689
8874000,429,386
9210000,492,422
10607000,1650,673
11159000,1730,593
8668000,580,368
9165000,504,375
11284000,1230,740
9454000,463,404
8946000,478,560
8952000,561,484
8826000,542,464
9961000,643,579
8315000,461,661
9979000,624,526
11112000,1390,691
9213000,458,337
8372000,499,420
9627000,574,493
10839000,1210,515
11616000,1250,806
10199000,480,373
10651000,1690,765
9176000,559,528
9905000,474,300
8096000,487,545
9123000,554,562
11661000,1510,60100
11613000,1720,773
11705000,1720,612
10426000,1580,699
9958000,442,325
10089000,443,337
8083000,515,527
11978000,1670,894
9143000,422,362
9731000,556,526
8689000,624,516
11223000,1740,608
8159000,444,336
9768000,495,450
11717000,1650,603
10387000,511,385
11995000,1640,812
11333000,1730,720
9144000,548,301
8251000,482,412
11890000,1470,690
11058000,1720,764
11763000,1530,556
9771000,486,673
9815000,528,431
11754000,1530,715
9955000,401,318
9689000,442,423
11977000,1610,758
9993000,534,518
9353000,606,334
8903000,471,381
10030000,621,451
8949000,618,474
11840000,1890,850
8115000,502,457
11054000,3610,655
10346000,1240,618
8489000,522,354
11059000,1790,790
9117000,606,496
9050000,454,388
10098000,477,560
9782000,599,386
10848000,1520,812
8781000,461,376
9348000,566,387
9411000,626,350
11886000,1650,845
11363000,1470,753
10430000,1780,746
10847000,1640,768
9500000,694,356
8469000,512,468
8956000,535,553
8037000,446,387
11720000,1480,773
11864000,1670,714
10092000,510,380
8087000,505,438
11098000,1830,704
10958000,1630,654
8002000,444,380
9776000,526,397
10302000,1660,1090
10048000,444,399
9540000,493,313
8394000,481,337
10384000,481,448
11363000,1610,768
8156000,435,319
8856000,507,369
11024000,1660,834
10495000,1740,739
10620000,1760,795
9139000,426,331
9355000,469,430
10156000,619,470
8875000,633,486
10830000,1680,913
8514000,616,432
10471000,1710,724
9317000,531,466
11660000,1400,667
11640000,1600,735
11057000,1580,578
8076000,487,391
